item_name,date_deleted,date_raw_hebrew,category_emoji
"עדשים כתומות",2026-03-16,"נמחק לפני 2 ימים",🍚
"עדשים ירוקות",2026-03-16,"נמחק לפני 2 ימים",🍚
"אורז בסמטי",2026-03-16,"נמחק לפני 2 ימים",🍚
"קמח",2026-03-16,"נמחק לפני 2 ימים",🍰
"מלח רגיל עדין שולחן",2026-03-16,"נמחק לפני 2 ימים",🍽
"עגבניות מרוסקות",2026-03-16,"נמחק לפני 2 ימים",🥫
"מלפפון במלח",2026-03-16,"נמחק לפני 2 ימים",🥫
"חומוס בקופסת שימורים",2026-03-16,"נמחק לפני 2 ימים",🥫
"דאודורנט לבן",2026-03-16,"נמחק לפני 2 ימים",🛀
"סבון כלים",2026-03-16,"נמחק לפני 2 ימים",🧻
"פרגיות בלי עור",2026-03-16,"נמחק לפני 2 ימים",🥩
"בקר טחון",2026-03-16,"נמחק לפני 2 ימים",🥩
"ביצים",2026-03-16,"נמחק לפני 2 ימים",🥚
"גבינות",2026-03-16,"נמחק לפני 2 ימים",🧀
"ירקות",2026-03-16,"נמחק לפני 2 ימים",🥬
"חצילים",2026-03-16,"נמחק לפני 2 ימים",🥬
"שעועית ירוקה קפואה",2026-03-16,"נמחק לפני 2 ימים",❄️
"פירות",2026-03-16,"נמחק לפני 2 ימים",🍎
"מרכך כביסה",2026-03-13,"נמחק לפני 5 ימים",🧻
"פחאות",2026-03-13,"נמחק לפני 5 ימים",🥖
"מחק3",2026-03-13,"נמחק לפני 5 ימים",🥫
"חומר למדיח",2026-03-13,"נמחק לפני 5 ימים",🧻
"מרכך כביסה",2026-03-13,"נמחק לפני 5 ימים",🧻
"פסטה",2026-03-13,"נמחק לפני 5 ימים",🍝
"קפה",2026-03-13,"נמחק לפני 5 ימים",☕
"תערובת אגוזים",2026-03-13,"נמחק לפני 5 ימים",🥬
"שמנת חמוצה",2026-03-13,"נמחק לפני 5 ימים",🧀
"ביצים",2026-03-13,"נמחק לפני 5 ימים",🥚
"פירות",2026-03-13,"נמחק לפני 5 ימים",🍎
"רביולי",2026-03-13,"נמחק לפני 5 ימים",🧀
"צפתית",2026-03-13,"נמחק לפני 5 ימים",🧀
"תפוחי אדמה לאפיה",2026-03-11,"נמחק בתאריך 11.3.2026",🥬
"תפוחי אדמה לבישול",2026-03-11,"נמחק בתאריך 11.3.2026",🥬
"קישואים",2026-03-11,"נמחק בתאריך 11.3.2026",🥬
"חציל",2026-03-11,"נמחק בתאריך 11.3.2026",🥬
"בצל סגול",2026-03-11,"נמחק בתאריך 11.3.2026",🥬
"שום",2026-03-11,"נמחק בתאריך 11.3.2026",🥬
"כרוב",2026-03-11,"נמחק בתאריך 11.3.2026",🥬
"שמיר",2026-03-11,"נמחק בתאריך 11.3.2026",🥬
"פטרוזיליה",2026-03-11,"נמחק בתאריך 11.3.2026",🥬
"פלפלים",2026-03-11,"נמחק בתאריך 11.3.2026",🥬
"חלב",2026-03-11,"נמחק בתאריך 11.3.2026",🧀
"תה ירוק לימונית לואיזה",2026-03-11,"נמחק בתאריך 11.3.2026",☕
